name	ratings	date	helpful	comment
k p	1	2021-06-10	12	이 어플 쓰시는분들 배달 예상 시간 절대 믿지 마세요 20분은 더 늦게 옵니다;; 16-26분이면 보통 45분 뒤에 와요 쿠팡이츠 쓰는게 빨라서인데 보통 요즘은 절대 안그렇습니다 그냥 쿠폰 있으시면 타어플인 배민이나 요기요 쓰세요 ㅋㅋㅋ
kk후까	2	2021-06-09	90	"타앱과의 장단점 장점: 배달시 라이더 위치 실시간 정보공개, 배달 후 문앞배달완료사진 찍고 앱으로 전송해줘서 배달원분들과 마주칠일이 없다. 단점: 아직 라이더가 없는지 주문취소가 번번히 일어난다. 업체도 별로없다. 가맹주들의 이점이 없는 모양"
scynada	3	2021-06-09	14	"배달현황 지도 볼 때에 지도가 돌아가면 좌상단의 나침반을 눌러야 하는데, 거기에 지도 끄기 버튼이 같이있어서 같이눌림. 지도 끄기 버튼 자리 바꿔줘요."
끼요옷	5	2021-06-10	6	자주 쓰는 배달앱보다 확실히 빠릅니다. 거의 2분의 1 정도의 배달 시간. 프로모션 타 배달앱처럼 하면 좋겠네요. 아예 여기로 옮기게.
Neary Kam	1	2021-06-10	5	앱내 광고에 소리를 넣은 것은 누구 아이디어인가요? 역효과가 날 거라는 생각은 안 드셨나요? 배불러서 안 드셨나보네요.
Jeongki Son	2	2021-06-08	99	다 좋았는데 업데이트 되면서 배달비 있는데도 무료배달로 숨겨지는 부분이 있어서 불편해졌습니다. 리스트에 무료배달 단 한단어만 있어서 무료배달로 오해가 됩니다. 부분 무료배달이라면 무료배달~ 같은걸로 표시가 되는게 좋을 것 같습니다. 무료배달이라고 해서 들어갔는데 결제전에 배달비가 나오면 속은 것 같은 느낌입니다.
안계원	5	2021-06-08	39	다양한 주변 배달맛집을 한눈에 알아보기 쉽게 배열되어 검색이 용이하고 주문후 배달과정과 시간을 지도상에 실시간으로 보여주어 기다리는 맛이 있습니다 한집배달이라 정말 빨리 와서 따뜻하게 먹을 수 있어 좋았어요 다만 전문배달라이더가 아니고 알바하시는 분들이라 그런지 코로나땜에 그런지 처음 주문했을때 벨이나 노크없이 그냥 문앞에 두고 가버려서 한참을 기다렸던 웃픈 기억이 있어요 ㅋ 지금은 적응돼서 앱에서 배달완료 메세지 뜨면 가져옵니다 배달료랑 예상시간 등이 한눈에 보여 선택에 많은 도움이 돼요
영원한태양	1	2021-05-30	61	타 배달앱에 비해 성능이 제일 안좋습니다. 타 배달앱에서는 생각도 못하는 일시적 주문불가만 몇번째인지 모르게 계속 걸리네요. 또 광고도 심하다고 할 만큼 계속 띄우고 있습니다.
ag s	3	2021-06-08	24	"전체적으로 타앱에비해 같은음식점들인데 쿠팡이츠가 다들 좀더비싸요. 수수료가높은건지~ 예를들어 요기요에서 만원이면 쿠팡은 만천만이천, 배민에서 만오천이면 쿠팡에선 만육만칠천.. 다그래요. 결국 요기요배민으로 다시가게되요ㅠ"
오리	1	2021-06-02	155	첫결제하고나서 광고에서 자꾸할인한다길래 보고있었는데 결제에들가서 쿠폰보니까 없어서 뒤로가기 눌를려다가 잘못해서 결제하기에스쳐서 갑자기 결제되길래 취소할려니까 취소하기 기능이없음 취소할려면 고객센터에 전화해서 해야하는데 전화도 바로되는것두아님 겨우 취소했는데 진짜 이거 어플 개별로임 쓰지마셈 아오. 아니 이거 잘못주문하는사람도많을텐데 취소기능을안만들면 어떻하자는건지 갑자기 결제되서 놀랬는데 취소기능없어서 급 빡이오더라. 결제기능있으면 취소기능도 좀 만들어라!!
이건환	1	2021-05-31	53	한집배달이라고 광고란 광고는 다해두고 배달기사들 여러개 한번에 가는건 관리도 안하는것 같네요.. 가게 운영하면서 핸드폰 3개 들고다니는 기사들도 보이는데... 위치는 다보이는데 이곳저곳 돌아다니니 고객들은 매장에만 전화하고.. 난감하네요
김ds	1	2021-05-29	90	쓰지마세요 한번도아니고 가게에서는 음식다만들었는데 배차안되서 따뜻한음식은 식고 차가운음식은 밍밍해져서와요. 업주분이 먼저 전화주실때도많구요 음식다만들었는데 기사가 안온다고 고객센터는 연결도 안되는데 왜만들었나요 내부에서 돌아가는 프로세스를 다공개하고 뜯어고치지않는이상 안쓰는게 답일거같아요 배민이나 다른곳같은경우는 먼저연락옵니다 문제있는경우 보상프로세스도 있고요
